conf-msvc64|conf-msvc64.1|no|no|Microsoft C Compiler Environment Settings (64-bit x86_64)
conf-mysql|conf-mysql.1|no|yes|Virtual package relying on a libmysqlclient system installation
conf-nanomsg|conf-nanomsg.0|yes|yes|Virtual package relying on a nanomsg system installation
conf-nauty|conf-nauty.1.0|yes|yes|Virtual package relying on nauty
conf-ncurses|conf-ncurses.1|yes|yes|Virtual package relying on ncurses
conf-neko|conf-neko.1|no|yes|Virtual package relying on a Neko system installation
conf-netsnmp|conf-netsnmp.1.0.0|no|yes|Package relying on net-snmp libs
conf-ninja|conf-ninja.1|no|yes|Virtual package to install the Ninja build system
conf-nlopt|conf-nlopt.1|yes|yes|Virtual package relying on nlopt
conf-nmap|conf-nmap.1.0.0|no|yes|Virtual package relying on nmap installation
conf-npm|conf-npm.1|no|yes|Virtual package relying on npm installation
conf-numa|conf-numa.0.1.0|no|yes|Package relying on libnuma
conf-ode|conf-ode.1|yes|yes|Virtual package relying on a ODE system installation
conf-oniguruma|conf-oniguruma.1|yes|yes|Virtual package relying on an Oniguruma system installation
conf-openbabel|conf-openbabel.0.1|yes|yes|Virtual package relying on openbabel library installation
conf-openblas|conf-openblas.0.2.2|yes|yes|Virtual package to install OpenBLAS and LAPACKE
conf-openblas-macOS-env|conf-openblas-macOS-env.1|yes|no|Virtual package to set the environment correctly for OpenBLAS in Homebrew
conf-opencc0|conf-opencc0.1|no|yes|Virtual package relying on opencc v0 (libopencc.so.1) installation
conf-opencc1|conf-opencc1.1|no|yes|Virtual package relying on opencc v1 (libopencc.so.2) installation
conf-opencc1_1|conf-opencc1_1.1|no|yes|Virtual package relying on opencc v1.1 (libopencc.so.1.1) installation
conf-openimageio|conf-openimageio.1|yes|yes|Virtual package relying on OpenImageIO development package installation
conf-openjdk|conf-openjdk.1|no|yes|Virtual package relying on OpenJDK / Javac
conf-openssl|conf-openssl.2|no|yes|Virtual package relying on an OpenSSL binary system installation
conf-pam|conf-pam.1|no|yes|Virtual package relying on a system installation of PAM
conf-pandoc|conf-pandoc.0.1|no|yes|Virtual package relying on pandoc installation
conf-pango|conf-pango.1|yes|yes|Virtual package relying on a Pango system installation
conf-perl|conf-perl.2|no|yes|Virtual package relying on perl
conf-perl-ipc-system-simple|conf-perl-ipc-system-simple.3|no|yes|Virtual package relying on perl's IPC::System::Simple
conf-perl-string-shellquote|conf-perl-string-shellquote.3|no|yes|Virtual package relying on perl's String::ShellQuote
conf-pic-switch|conf-pic-switch.0.1|no|no|synopsis:
conf-pixz|conf-pixz.1|no|yes|Virtual package relying on pixz
conf-pkg-config|conf-pkg-config.4|yes|yes|Check if pkg-config is installed and create an opam switch local pkgconfig folder
conf-plplot|conf-plplot.1|yes|yes|Virtual package relying on plplot
conf-portaudio|conf-portaudio.1|yes|yes|Virtual package relying on portaudio
conf-postgresql|conf-postgresql.2|yes|yes|Virtual package relying on a PostgreSQL system installation
conf-ppl|conf-ppl.1|no|yes|synopsis:
conf-protoc|conf-protoc.4.4.0|no|yes|Virtual package to install protoc compiler
conf-protoc-dev|conf-protoc-dev.1.0.0|yes|yes|Virtual package to install protobuf cpp headers
conf-pulseaudio|conf-pulseaudio.1|yes|yes|Virtual package relying on pulseaudio
conf-python-2-7|conf-python-2-7.1.2|no|yes|Virtual package relying on Python-2.7 installation
conf-python-2-7-dev|conf-python-2-7-dev.1.0|no|yes|synopsis:
conf-python-3|conf-python-3.9.0.0|no|yes|Virtual package relying on Python-3 installation
conf-python-3-7|conf-python-3-7.1.0.0|no|yes|Virtual package relying on Python >=3.7 installation
conf-python-3-dev|conf-python-3-dev.1|no|yes|Virtual package relying on Python 3 development package installation
conf-python3-pyparsing|conf-python3-pyparsing.1|no|yes|Virtual package relying on PyParsing
conf-python3-tomli|conf-python3-tomli.1|no|yes|Virtual package relying on Tomli
conf-python3-yaml|conf-python3-yaml.1|no|yes|Virtual package relying on PyYAML
conf-qt|conf-qt.5.2.1|yes|yes|Installation of Qt5 using APT packages or from source
conf-r|conf-r.1.0.0|no|yes|Virtual package relying on the R interpreter
conf-r-mathlib|conf-r-mathlib.1|yes|yes|synopsis:
conf-radare2|conf-radare2.0.1|no|yes|Checks that radare2 is installed
conf-rdkit|conf-rdkit.1|no|yes|Virtual package relying on rdkit library installation
conf-readline|conf-readline.1|no|yes|Virtual package relying on a readline system installation
conf-rocksdb|conf-rocksdb.1|no|yes|Virtual package relying on a system installation of RocksDB
conf-rubberband|conf-rubberband.1|yes|yes|Virtual package relying on rubberband
conf-ruby|conf-ruby.1.0.0|no|yes|Virtual package relying on Ruby
conf-rust|conf-rust.0.1|no|yes|Virtual package relying on cargo (rust build system)
conf-rust-2018|conf-rust-2018.1|no|yes|Virtual package relying on cargo (rust build system)
conf-rust-2021|conf-rust-2021.1|no|yes|Virtual package relying on cargo (rust build system)
conf-rust-2024|conf-rust-2024.1|no|yes|Virtual package relying on cargo (rust build system)
conf-rust-llvm|conf-rust-llvm.1|no|yes|Virtual package relying on an installation of the integration of Rust with LLVM tools
conf-rust-wasm|conf-rust-wasm.1|no|yes|Virtual package relying on an installation of standard Rust libraries including development files, needed to cross-compile Rust programs to the wasm32-unknown-unknown and wasm32-wasip1/wasm32-wasip2 targets
conf-samplerate|conf-samplerate.1|yes|yes|Virtual package relying on samplerate
conf-scdoc|conf-scdoc.1|no|yes|Virtual package to install scdoc
conf-sdl-gfx|conf-sdl-gfx.1|yes|yes|Virtual package relying on a sdl-gfx system installation
conf-sdl-image|conf-sdl-image.1|yes|yes|Virtual package relying on a sdl-image system installation
conf-sdl-mixer|conf-sdl-mixer.1|yes|yes|Virtual package relying on a sdl-mixer system installation
conf-sdl-net|conf-sdl-net.1|yes|yes|Virtual package relying on a sdl-net system installation
conf-sdl-ttf|conf-sdl-ttf.1|yes|yes|Virtual package relying on a sdl-ttf system installation
conf-sdl2|conf-sdl2.1|yes|yes|Virtual package relying on a SDL2 system installation
conf-sdl2-image|conf-sdl2-image.1|yes|yes|Virtual package relying on a sdl2-image system installation
conf-sdl2-mixer|conf-sdl2-mixer.1|yes|yes|Virtual package relying on a sdl2-mixer system installation
conf-sdl2-net|conf-sdl2-net.1|yes|yes|Virtual package relying on a sdl2-net system installation
conf-sdl2-ttf|conf-sdl2-ttf.1|yes|yes|Virtual package relying on a sdl2-ttf system installation
conf-sdpa|conf-sdpa.1|no|yes|Virtual package relying on a SDPA binary system installation
conf-secp256k1|conf-secp256k1.2|no|yes|Virtual package relying on a secp256k1 lib system installation
conf-sfml2|conf-sfml2.1|yes|yes|Virtual package relying on a SFML2 system installation
conf-shine|conf-shine.1|yes|yes|Virtual package relying on libshine
conf-snappy|conf-snappy.1|no|yes|Virtual package relying on snappy
conf-sndfile|conf-sndfile.1|yes|yes|Virtual package relying on sndfile
conf-soundtouch|conf-soundtouch.1|yes|yes|Virtual package relying on soundtouch
conf-sqlite3|conf-sqlite3.1|yes|yes|Virtual package relying on an SQLite3 system installation
conf-srt|conf-srt.2|yes|yes|Virtual package relying on srt
conf-srt-gnutls|conf-srt-gnutls.1|yes|yes|Virtual package relying on srt build with gnutls
conf-srt-openssl|conf-srt-openssl.1|yes|yes|Virtual package relying on srt compiled with openssl
conf-sundials|conf-sundials.2|no|yes|Virtual package relying on sundials
conf-swi-prolog|conf-swi-prolog.1|no|yes|Virtual package to install the swi-prolog interpreter
conf-sysinfo|conf-sysinfo.1|no|yes|Virtual package relying on sysinfo
conf-taglib|conf-taglib.1|yes|yes|Virtual package relying on taglib
conf-tcl|conf-tcl.1|yes|yes|Virtual package relying on tcl
conf-texlive|conf-texlive.1|no|yes|Virtual package relying on texlive / pdflatex
conf-tidy|conf-tidy.1|no|yes|Virtual package relying on libtidy installation
conf-time|conf-time.1|no|yes|Virtual package relying on the \"time\" command
