conf-sdl-mixer|conf-sdl-mixer.1|pkgcfg=yes|deb=libsdl-mixer1.2-dev|brew=sdl_mixer|Virtual package relying on a sdl-mixer system installation
conf-sdl-net|conf-sdl-net.1|pkgcfg=yes|deb=libsdl-net1.2-dev|brew=sdl_net|Virtual package relying on a sdl-net system installation
conf-sdl-ttf|conf-sdl-ttf.1|pkgcfg=yes|deb=libsdl-ttf2.0-dev|brew=sdl_ttf|Virtual package relying on a sdl-ttf system installation
conf-sdl2|conf-sdl2.1|pkgcfg=yes|deb=libsdl2-dev|brew=sdl2|Virtual package relying on a SDL2 system installation
conf-sdl2-image|conf-sdl2-image.1|pkgcfg=yes|deb=libsdl2-image-dev|brew=sdl2_image|Virtual package relying on a sdl2-image system installation
conf-sdl2-mixer|conf-sdl2-mixer.1|pkgcfg=yes|deb=libsdl2-mixer-dev|brew=sdl2_mixer|Virtual package relying on a sdl2-mixer system installation
conf-sdl2-net|conf-sdl2-net.1|pkgcfg=yes|deb=libsdl2-net-dev|brew=sdl2_net|Virtual package relying on a sdl2-net system installation
conf-sdl2-ttf|conf-sdl2-ttf.1|pkgcfg=yes|deb=libsdl2-ttf-dev|brew=sdl2_ttf|Virtual package relying on a sdl2-ttf system installation
conf-secp256k1|conf-secp256k1.2|pkgcfg=no|deb=libsecp256k1-dev|brew=domt4/crypto/libsecp256k1|Virtual package relying on a secp256k1 lib system installation
conf-sfml2|conf-sfml2.1|pkgcfg=yes|deb=libsfml-dev|brew=sfml|Virtual package relying on a SFML2 system installation
conf-shine|conf-shine.1|pkgcfg=yes|deb=libshine-dev|brew=drfill/liquidsoap/libshine|Virtual package relying on libshine
conf-snappy|conf-snappy.1|pkgcfg=no|deb=libsnappy-dev|brew=sh|Virtual package relying on snappy
conf-sndfile|conf-sndfile.1|pkgcfg=yes|deb=libsndfile-dev|brew=pkg-config|Virtual package relying on sndfile
conf-soundtouch|conf-soundtouch.1|pkgcfg=yes|deb=libsoundtouch-dev|brew=sound-touch|Virtual package relying on soundtouch
conf-sqlite3|conf-sqlite3.1|pkgcfg=yes|deb=libsqlite3-dev|brew=sqlite|Virtual package relying on an SQLite3 system installation
conf-srt|conf-srt.2|pkgcfg=yes|deb=|brew=|Virtual package relying on srt
conf-srt-gnutls|conf-srt-gnutls.1|pkgcfg=yes|deb=libsrt-gnutls-dev|brew=|Virtual package relying on srt build with gnutls
conf-srt-openssl|conf-srt-openssl.1|pkgcfg=yes|deb=libsrt-openssl-dev|brew=srt|Virtual package relying on srt compiled with openssl
conf-sundials|conf-sundials.2|pkgcfg=no|deb=libsundials-dev|brew=sundials|Virtual package relying on sundials
conf-taglib|conf-taglib.1|pkgcfg=yes|deb=libtag1-dev|brew=taglib|Virtual package relying on taglib
conf-tcl|conf-tcl.1|pkgcfg=yes|deb=tcl-dev|brew=|Virtual package relying on tcl
conf-tidy|conf-tidy.1|pkgcfg=no|deb=libtidy-dev|brew=tidy-html5|Virtual package relying on libtidy installation
conf-tk|conf-tk.1|pkgcfg=yes|deb=tk-dev|brew=|Virtual package relying on tk
conf-unwind|conf-unwind.0|pkgcfg=yes|deb=libunwind-dev|brew=libunwind-headers|Virtual package relying on libunwind
conf-wayland-protocols|conf-wayland-protocols.1|pkgcfg=yes|deb=wayland-protocols|brew=|Virtual package relying on wayland-protocols
conf-wxwidgets|conf-wxwidgets.3.0|pkgcfg=no|deb=|brew=|synopsis:
conf-xen|conf-xen.1|pkgcfg=no|deb=libxen-dev|brew=|synopsis:
conf-xkbcommon|conf-xkbcommon.1|pkgcfg=yes|deb=libxkbcommon-dev|brew=libxkbcommon|Virtual package relying on xkbcommon
conf-xxhash|conf-xxhash.1|pkgcfg=yes|deb=libxxhash-dev|brew=xxhash|Virtual package relying on a xxhash system installation
conf-zlib|conf-zlib.1|pkgcfg=yes|deb=zlib1g-dev|brew=zlib|Virtual package relying on zlib
conf-zmq|conf-zmq.0.1|pkgcfg=yes|deb=libzmq3-dev|brew=zeromq|Virtual package relying on zmq library installation
conf-zstd|conf-zstd.1.3.8|pkgcfg=yes|deb=libzstd-dev|brew=zstd|Virtual package relying on zstd
